persona,persona_cn,file,domain,domain_cn,priority,confidence,group
online_rightist,网右,online_rightist/psychology.md,psychology,心理学理论映射,True,A,critics
online_rightist,网右,online_rightist/career.md,career,职业,True,A-,critics
online_rightist,网右,online_rightist/startup.md,startup,创业,False,B+,critics
online_rightist,网右,online_rightist/product.md,product,产品,False,B+,critics
online_rightist,网右,online_rightist/relationship.md,relationship,关系,False,B+,critics
online_rightist,网右,online_rightist/politics.md,politics,政治,True,A-,critics
online_rightist,网右,online_rightist/philosophy.md,philosophy,哲学,False,B+,critics
online_rightist,网右,online_rightist/public_discourse.md,public_discourse,公共话语,True,A-,critics
collapse_prophet,崩坏预言家,collapse_prophet/profile_2_0.md,profile_2_0,人格增强卡,True,A,critics
collapse_prophet,崩坏预言家,collapse_prophet/psychology.md,psychology,心理学理论映射,True,A,critics
collapse_prophet,崩坏预言家,collapse_prophet/career.md,career,职业,True,A-,critics
collapse_prophet,崩坏预言家,collapse_prophet/startup.md,startup,创业,False,B+,critics
collapse_prophet,崩坏预言家,collapse_prophet/product.md,product,产品,False,B+,critics
collapse_prophet,崩坏预言家,collapse_prophet/relationship.md,relationship,关系,False,B+,critics
collapse_prophet,崩坏预言家,collapse_prophet/politics.md,politics,政治,True,A-,critics
collapse_prophet,崩坏预言家,collapse_prophet/philosophy.md,philosophy,哲学,False,B+,critics
collapse_prophet,崩坏预言家,collapse_prophet/public_discourse.md,public_discourse,公共话语,True,A-,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/profile_2_0.md,profile_2_0,人格增强卡,True,A,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/psychology.md,psychology,心理学理论映射,True,A,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/career.md,career,职业,False,B+,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/startup.md,startup,创业,False,B+,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/product.md,product,产品,False,B+,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/relationship.md,relationship,关系,False,B+,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/politics.md,politics,政治,True,A-,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/philosophy.md,philosophy,哲学,True,A-,critics
radical_meme_dissident,反建制梗学家,radical_meme_dissident/public_discourse.md,public_discourse,公共话语,True,A-,critics
network_jester,网络乐子人,network_jester/profile_2_0.md,profile_2_0,人格增强卡,True,A,spectators
network_jester,网络乐子人,network_jester/psychology.md,psychology,心理学理论映射,True,A,spectators
network_jester,网络乐子人,network_jester/career.md,career,职业,False,B+,spectators
network_jester,网络乐子人,network_jester/startup.md,startup,创业,False,B+,spectators
network_jester,网络乐子人,network_jester/product.md,product,产品,False,B+,spectators
network_jester,网络乐子人,network_jester/relationship.md,relationship,关系,True,A-,spectators
network_jester,网络乐子人,network_jester/politics.md,politics,政治,True,A-,spectators
network_jester,网络乐子人,network_jester/philosophy.md,philosophy,哲学,False,B+,spectators
network_jester,网络乐子人,network_jester/public_discourse.md,public_discourse,公共话语,True,A-,spectators
terminal_jester,终极乐子人,terminal_jester/profile_2_0.md,profile_2_0,人格增强卡,True,A,spectators
terminal_jester,终极乐子人,terminal_jester/psychology.md,psychology,心理学理论映射,True,A,spectators
terminal_jester,终极乐子人,terminal_jester/career.md,career,职业,True,A-,spectators
terminal_jester,终极乐子人,terminal_jester/startup.md,startup,创业,False,B+,spectators
terminal_jester,终极乐子人,terminal_jester/product.md,product,产品,False,B+,spectators
terminal_jester,终极乐子人,terminal_jester/relationship.md,relationship,关系,True,A-,spectators
terminal_jester,终极乐子人,terminal_jester/politics.md,politics,政治,False,B+,spectators
terminal_jester,终极乐子人,terminal_jester/philosophy.md,philosophy,哲学,True,A-,spectators
terminal_jester,终极乐子人,terminal_jester/public_discourse.md,public_discourse,公共话语,False,B+,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/profile_2_0.md,profile_2_0,人格增强卡,True,A,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/psychology.md,psychology,心理学理论映射,True,A,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/career.md,career,职业,False,B+,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/startup.md,startup,创业,False,B+,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/product.md,product,产品,False,B+,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/relationship.md,relationship,关系,False,B+,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/politics.md,politics,政治,True,A-,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/philosophy.md,philosophy,哲学,True,A-,spectators
postmodern_ironist,后现代解构派,postmodern_ironist/public_discourse.md,public_discourse,公共话语,True,A-,spectators
cynical_detached,犬儒抽离派,cynical_detached/profile_2_0.md,profile_2_0,人格增强卡,True,A,spectators
cynical_detached,犬儒抽离派,cynical_detached/psychology.md,psychology,心理学理论映射,True,A,spectators
cynical_detached,犬儒抽离派,cynical_detached/career.md,career,职业,True,A-,spectators
cynical_detached,犬儒抽离派,cynical_detached/startup.md,startup,创业,False,B+,spectators
cynical_detached,犬儒抽离派,cynical_detached/product.md,product,产品,False,B+,spectators
cynical_detached,犬儒抽离派,cynical_detached/relationship.md,relationship,关系,True,A-,spectators
cynical_detached,犬儒抽离派,cynical_detached/politics.md,politics,政治,False,B+,spectators
cynical_detached,犬儒抽离派,cynical_detached/philosophy.md,philosophy,哲学,True,A-,spectators
cynical_detached,犬儒抽离派,cynical_detached/public_discourse.md,public_discourse,公共话语,False,B+,spectators
attention_marketer,营销号,attention_marketer/profile_2_0.md,profile_2_0,人格增强卡,True,A,spectators
attention_marketer,营销号,attention_marketer/psychology.md,psychology,心理学理论映射,True,A,spectators
attention_marketer,营销号,attention_marketer/career.md,career,职业,False,B+,spectators
attention_marketer,营销号,attention_marketer/startup.md,startup,创业,True,A-,spectators
attention_marketer,营销号,attention_marketer/product.md,product,产品,True,A-,spectators
attention_marketer,营销号,attention_marketer/relationship.md,relationship,关系,False,B+,spectators
attention_marketer,营销号,attention_marketer/politics.md,politics,政治,False,B+,spectators
attention_marketer,营销号,attention_marketer/philosophy.md,philosophy,哲学,False,B+,spectators
attention_marketer,营销号,attention_marketer/public_discourse.md,public_discourse,公共话语,True,A-,spectators
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/profile_2_0.md,profile_2_0,人格增强卡,True,A,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/psychology.md,psychology,心理学理论映射,True,A,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/career.md,career,职业,True,A-,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/startup.md,startup,创业,False,B+,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/product.md,product,产品,False,B+,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/relationship.md,relationship,关系,True,A-,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/politics.md,politics,政治,False,B+,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/philosophy.md,philosophy,哲学,True,A-,defenders
stoic_pragmatist,斯多葛现实派,stoic_pragmatist/public_discourse.md,public_discourse,公共话语,False,B+,defenders
risk_manager,风险经理派,risk_manager/profile_2_0.md,profile_2_0,人格增强卡,True,A,defenders
risk_manager,风险经理派,risk_manager/psychology.md,psychology,心理学理论映射,True,A,defenders
risk_manager,风险经理派,risk_manager/career.md,career,职业,True,A-,defenders
risk_manager,风险经理派,risk_manager/startup.md,startup,创业,True,A-,defenders
risk_manager,风险经理派,risk_manager/product.md,product,产品,False,B+,defenders
risk_manager,风险经理派,risk_manager/relationship.md,relationship,关系,True,A-,defenders
risk_manager,风险经理派,risk_manager/politics.md,politics,政治,False,B+,defenders
risk_manager,风险经理派,risk_manager/philosophy.md,philosophy,哲学,False,B+,defenders
risk_manager,风险经理派,risk_manager/public_discourse.md,public_discourse,公共话语,False,B+,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/profile_2_0.md,profile_2_0,人格增强卡,True,A,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/psychology.md,psychology,心理学理论映射,True,A,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/career.md,career,职业,True,A-,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/startup.md,startup,创业,False,B+,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/product.md,product,产品,False,B+,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/relationship.md,relationship,关系,True,A-,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/politics.md,politics,政治,False,B+,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/philosophy.md,philosophy,哲学,True,A-,defenders
antiwork_minimalist,低欲望最小化派,antiwork_minimalist/public_discourse.md,public_discourse,公共话语,False,B+,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/profile_2_0.md,profile_2_0,人格增强卡,True,A,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/psychology.md,psychology,心理学理论映射,True,A,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/career.md,career,职业,True,A-,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/startup.md,startup,创业,False,B+,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/product.md,product,产品,False,B+,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/relationship.md,relationship,关系,True,A-,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/politics.md,politics,政治,False,B+,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/philosophy.md,philosophy,哲学,True,A-,defenders
optimistic_nihilist,积极虚无主义者,optimistic_nihilist/public_discourse.md,public_discourse,公共话语,False,B+,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/profile_2_0.md,profile_2_0,人格增强卡,True,A,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/psychology.md,psychology,心理学理论映射,True,A,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/career.md,career,职业,True,A-,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/startup.md,startup,创业,False,B+,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/product.md,product,产品,False,B+,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/relationship.md,relationship,关系,True,A-,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/politics.md,politics,政治,False,B+,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/philosophy.md,philosophy,哲学,True,A-,defenders
depressive_nihilist,消极虚无主义者,depressive_nihilist/public_discourse.md,public_discourse,公共话语,False,B+,defenders
humanist_therapist,人本关怀派,humanist_therapist/profile_2_0.md,profile_2_0,人格增强卡,True,A,experientials
humanist_therapist,人本关怀派,humanist_therapist/psychology.md,psychology,心理学理论映射,True,A,experientials
humanist_therapist,人本关怀派,humanist_therapist/career.md,career,职业,True,A-,experientials
humanist_therapist,人本关怀派,humanist_therapist/startup.md,startup,创业,False,B+,experientials
humanist_therapist,人本关怀派,humanist_therapist/product.md,product,产品,False,B+,experientials
humanist_therapist,人本关怀派,humanist_therapist/relationship.md,relationship,关系,True,A-,experientials
humanist_therapist,人本关怀派,humanist_therapist/politics.md,politics,政治,False,B+,experientials
humanist_therapist,人本关怀派,humanist_therapist/philosophy.md,philosophy,哲学,True,A-,experientials
humanist_therapist,人本关怀派,humanist_therapist/public_discourse.md,public_discourse,公共话语,False,B+,experientials
modern_mystic,现代神人,modern_mystic/profile_2_0.md,profile_2_0,人格增强卡,True,A,experientials
modern_mystic,现代神人,modern_mystic/psychology.md,psychology,心理学理论映射,True,A,experientials
modern_mystic,现代神人,modern_mystic/career.md,career,职业,True,A-,experientials
modern_mystic,现代神人,modern_mystic/startup.md,startup,创业,False,B+,experientials
modern_mystic,现代神人,modern_mystic/product.md,product,产品,False,B+,experientials
modern_mystic,现代神人,modern_mystic/relationship.md,relationship,关系,True,A-,experientials
modern_mystic,现代神人,modern_mystic/politics.md,politics,政治,False,B+,experientials
modern_mystic,现代神人,modern_mystic/philosophy.md,philosophy,哲学,True,A-,experientials
modern_mystic,现代神人,modern_mystic/public_discourse.md,public_discourse,公共话语,False,B+,experientials
absurdist_player,荒诞游戏派,absurdist_player/profile_2_0.md,profile_2_0,人格增强卡,True,A,experientials
absurdist_player,荒诞游戏派,absurdist_player/psychology.md,psychology,心理学理论映射,True,A,experientials
absurdist_player,荒诞游戏派,absurdist_player/career.md,career,职业,False,B+,experientials
absurdist_player,荒诞游戏派,absurdist_player/startup.md,startup,创业,False,B+,experientials
absurdist_player,荒诞游戏派,absurdist_player/product.md,product,产品,False,B+,experientials
absurdist_player,荒诞游戏派,absurdist_player/relationship.md,relationship,关系,True,A-,experientials
absurdist_player,荒诞游戏派,absurdist_player/politics.md,politics,政治,False,B+,experientials
absurdist_player,荒诞游戏派,absurdist_player/philosophy.md,philosophy,哲学,True,A-,experientials
absurdist_player,荒诞游戏派,absurdist_player/public_discourse.md,public_discourse,公共话语,True,A-,experientials
baseline_conformist,基本盘,baseline_conformist/profile_2_0.md,profile_2_0,人格增强卡,True,A,experientials
baseline_conformist,基本盘,baseline_conformist/psychology.md,psychology,心理学理论映射,True,A,experientials
baseline_conformist,基本盘,baseline_conformist/career.md,career,职业,True,A-,experientials
baseline_conformist,基本盘,baseline_conformist/startup.md,startup,创业,False,B+,experientials
baseline_conformist,基本盘,baseline_conformist/product.md,product,产品,False,B+,experientials
baseline_conformist,基本盘,baseline_conformist/relationship.md,relationship,关系,True,A-,experientials
baseline_conformist,基本盘,baseline_conformist/politics.md,politics,政治,False,B+,experientials
baseline_conformist,基本盘,baseline_conformist/philosophy.md,philosophy,哲学,False,B+,experientials
baseline_conformist,基本盘,baseline_conformist/public_discourse.md,public_discourse,公共话语,True,A-,experientials
external_reference,外部参照派,external_reference/profile_2_0.md,profile_2_0,人格增强卡,True,A,experientials
external_reference,外部参照派,external_reference/psychology.md,psychology,心理学理论映射,True,A,experientials
external_reference,外部参照派,external_reference/career.md,career,职业,True,A-,experientials
external_reference,外部参照派,external_reference/startup.md,startup,创业,False,B+,experientials
external_reference,外部参照派,external_reference/product.md,product,产品,False,B+,experientials
external_reference,外部参照派,external_reference/relationship.md,relationship,关系,False,B+,experientials
external_reference,外部参照派,external_reference/politics.md,politics,政治,True,A-,experientials
external_reference,外部参照派,external_reference/philosophy.md,philosophy,哲学,False,B+,experientials
external_reference,外部参照派,external_reference/public_discourse.md,public_discourse,公共话语,True,A-,experientials
